id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8
'13331,St_mary_VC_parking,2023-07-24 13:43:46,2023-07-25 00:46:42,39776.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'13381,St_mary_VC_parking,2023-07-24 12:29:53,2023-07-24 22:46:29,18480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'14151,St_mary_VC_parking,2023-07-27 02:40:33,2023-07-27 09:08:17,23264.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'14431,St_mary_VC_parking,2023-07-27 03:18:17,2023-07-27 09:42:00,23008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'16411,St_mary_VC,2023-07-30 19:53:44,2023-07-31 04:38:59,31515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'16441,St_mary_VC_parking,2023-07-30 18:46:43,2023-07-31 05:23:58,38235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'17081,St_mary_campground,2023-07-31 19:03:15,2023-08-01 04:08:30,32715.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'17391,St_mary_campground,2023-07-31 18:33:38,2023-08-01 09:39:08,54330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'18131,St_mary_VC_parking,2023-08-01 08:03:59,2023-08-01 08:23:59,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'18151,St_mary_VC_parking,2023-08-01 08:11:45,2023-08-01 08:24:00,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'19311,St_mary_VC,2023-08-01 13:05:54,2023-08-01 13:53:24,2325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'20021,St_mary_VC_parking,2023-08-02 14:56:03,2023-08-03 00:55:48,35596.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'20241,St_mary_VC_parking,2023-08-02 20:17:47,2023-08-03 05:13:01,22935.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'20431,St_mary_VC,2023-08-02 12:21:46,2023-08-02 13:44:45,4679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22021,St_mary_VC_parking,2023-08-06 08:18:43,2023-08-06 09:50:03,5480.0,St_mary_campground,2023-08-06 16:17:30,2023-08-06 17:15:34,3484.0,St_mary_VC_parking,2023-08-06 20:45:04,2023-08-07 00:04:49,2340.0,,,,,,,,,,,,,,,,,,,,
'22091,St_mary_VC_parking,2023-08-06 08:02:25,2023-08-06 09:50:25,6480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22121,St_mary_VC_parking,2023-08-06 08:24:19,2023-08-06 14:12:08,5629.0,St_mary_campground,2023-08-06 16:26:08,2023-08-06 16:50:08,1440.0,St_mary_VC,2023-08-06 18:04:22,2023-08-06 18:07:23,181.0,St_mary_VC_parking,2023-08-06 19:59:38,2023-08-07 01:44:28,19266.0,,,,,,,,,,,,,,,,
'22221,St_mary_VC_parking,2023-08-06 08:00:47,2023-08-06 16:57:02,16500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22261,St_mary_VC_parking,2023-08-06 07:46:41,2023-08-06 08:22:34,2153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22271,St_mary_VC_parking,2023-08-06 08:25:20,2023-08-06 08:34:00,520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22401,St_mary_VC,2023-08-06 08:07:31,2023-08-06 21:17:42,8067.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22411,St_mary_VC_parking,2023-08-06 08:26:22,2023-08-07 01:59:31,35227.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22461,St_mary_VC_parking,2023-08-06 08:21:50,2023-08-06 20:23:47,14054.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22471,St_mary_VC_parking,2023-08-06 07:45:43,2023-08-06 08:22:35,2212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'22531,St_mary_VC_parking,2023-08-06 08:00:22,2023-08-06 09:50:28,6606.0,St_mary_VC,2023-08-06 17:34:41,2023-08-06 21:18:39,13438.0,,,,,,,,,,,,,,,,,,,,,,,,
'25231,St_mary_VC_parking,2023-08-08 16:11:43,2023-08-09 00:04:25,10611.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
