ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'05261,"('Logan_pass_parking',)",120.0,2023-07-10 09:36:29,2023-07-10 09:38:29,2.0
'05291,"('Loop_highline_grinnell_glac',)",26010.0,2023-07-10 08:50:03,2023-07-10 16:03:33,433.5
'05341,"('Logan_pass_parking',)",120.0,2023-07-10 14:24:24,2023-07-10 14:26:24,2.0
'05361,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",7710.0,2023-07-10 08:24:31,2023-07-10 10:40:46,136.25
'05451,"('Logan_pass_parking',)",435.0,2023-07-05 09:05:23,2023-07-05 09:12:38,7.25
'05461,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",6656.0,2023-07-10 09:22:51,2023-07-10 11:43:17,140.43333333333334
'05511,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",8445.0,2023-07-10 14:35:08,2023-07-10 17:00:08,145.0
'05541,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass')",7440.0,2023-07-10 10:07:51,2023-07-10 14:14:09,246.3
'06041,"('Logan_pass_parking',)",6810.0,2023-07-11 12:56:49,2023-07-11 14:50:19,113.5
'06061,"('Logan_pass_parking',)",561.0,2023-07-11 11:40:28,2023-07-11 11:49:49,9.35
'06111,"('Logan_pass_parking',)",405.0,2023-07-11 13:49:47,2023-07-11 13:56:32,6.75
'06131,"('Logan_pass_parking',)",930.0,2023-07-11 13:02:45,2023-07-11 13:18:15,15.5
'06261,"('Logan_pass_parking',)",3090.0,2023-07-11 14:39:48,2023-07-11 15:31:18,51.5
'06301,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking')",10186.0,2023-07-10 15:09:55,2023-07-10 18:08:10,178.25
'06421,"('Loop_highline_grinnell_glac',)",22303.0,2023-07-11 13:23:17,2023-07-11 19:35:00,371.71666666666664
'06441,"('Logan_pass_parking',)",2460.0,2023-07-11 17:54:29,2023-07-11 18:35:29,41.0
'06451,"('Logan_pass_parking',)",720.0,2023-07-11 13:47:57,2023-07-11 13:59:57,12.0
'06511,"('Logan_pass_parking',)",915.0,2023-07-12 17:48:29,2023-07-12 18:03:44,15.25
'06521,"('Logan_pass_parking',)",1530.0,2023-07-11 15:03:47,2023-07-11 15:29:17,25.5
'07041,"('Logan_pass_parking',)",1245.0,2023-07-12 18:13:22,2023-07-12 18:34:07,20.75
'07101,"('Logan_pass_parking', 'Oberlin_climbing')",7185.0,2023-07-12 16:08:25,2023-07-12 18:14:25,126.0
'07161,"('Logan_pass_parking',)",1530.0,2023-07-12 16:44:37,2023-07-12 17:10:07,25.5
