Trip_Order,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('LakeMcDonald', 'Apgar')","[""'06531"", ""'06541"", ""'15011"", ""'1512"", ""'25071"", ""'25291""]",6,"[19485.0, 17840.0, 6905.0, 5530.0, 11159.0, 8733.0]","['2023-07-11 11:32:32', '2023-07-11 10:36:27', '2023-07-27 10:01:56', '2023-07-27 10:33:56', '2023-08-08 12:06:09', '2023-08-08 10:44:23']","['2023-07-11 17:24:32', '2023-07-11 18:25:02', '2023-07-27 14:40:53', '2023-07-27 14:45:21', '2023-08-08 15:38:53', '2023-08-08 15:11:11']","[352.0, 468.5833333333333, 278.95, 251.41666666666666, 212.73333333333332, 266.8]"
"('Waterfalls',)","[""'07091"", ""'07301"", ""'09071"", ""'09351"", ""'14011"", ""'14101"", ""'14171"", ""'14271"", ""'17271"", ""'17501""]",10,"[390.0, 465.0, 8640.0, 840.0, 345.0, 345.0, 540.0, 735.0, 1050.0, 4125.0]","['2023-07-12 16:10:37', '2023-07-12 17:26:55', '2023-07-16 08:39:32', '2023-07-16 08:39:52', '2023-07-26 17:14:40', '2023-07-26 16:11:17', '2023-07-26 18:23:18', '2023-07-26 16:53:44', '2023-07-31 17:37:28', '2023-07-31 16:51:47']","['2023-07-12 16:17:07', '2023-07-12 17:34:55', '2023-07-16 12:42:32', '2023-07-16 09:15:37', '2023-07-26 17:20:25', '2023-07-26 16:17:02', '2023-07-26 18:32:18', '2023-07-26 17:35:29', '2023-07-31 17:54:58', '2023-07-31 18:16:17']","[6.5, 8.0, 243.0, 35.75, 5.75, 5.75, 9.0, 41.75, 17.5, 84.5]"
"('RisingSun', 'Apgar')","[""'07131"", ""'14321""]",2,"[3151.0, 37879.0]","['2023-07-12 15:17:29', '2023-07-26 17:48:34']","['2023-07-12 18:54:30', '2023-07-27 07:38:05']","[217.01666666666668, 829.5166666666667]"
"('Logan', 'StMary')","[""'07231""]",1,[42975.0],['2023-07-12 19:43:19'],['2023-07-13 10:23:22'],[880.05]
"('Waterfalls', 'StMary')","[""'07261"", ""'17391""]",2,"[8086.0, 59055.0]","['2023-07-12 17:40:50', '2023-07-31 16:09:38']","['2023-07-12 20:36:35', '2023-08-01 09:39:08']","[175.75, 1049.5]"
"('Waterfalls', 'Logan', 'Apgar')","[""'07351""]",1,[3510.0],['2023-07-12 16:54:38'],['2023-07-12 19:18:23'],[143.75]
"('SunPoint', 'Waterfalls', 'SunPoint')","[""'07391"", ""'07441"", ""'09401"", ""'20411""]",4,"[5880.0, 1395.0, 14280.0, 4092.0]","['2023-07-06 12:07:23', '2023-07-12 15:43:09', '2023-07-16 09:39:01', '2023-08-02 11:20:39']","['2023-07-06 15:42:38', '2023-07-12 16:36:24', '2023-07-16 14:50:46', '2023-08-02 12:33:36']","[215.25, 53.25, 311.75, 72.95]"
"('Loop', 'Apgar')","[""'07521""]",1,[465.0],['2023-07-12 17:43:28'],['2023-07-12 18:42:43'],[59.25]
"('RisingSun', 'SunPoint', 'Waterfalls', 'Logan', 'RisingSun')","[""'08231""]",1,[4260.0],['2023-07-14 14:55:38'],['2023-07-14 17:49:05'],[173.45]
"('RisingSun', 'SunPoint', 'Logan', 'Apgar')","[""'09041"", ""'13241""]",2,"[21180.0, 47265.0]","['2023-07-16 09:22:32', '2023-07-24 11:14:02']","['2023-07-16 17:10:17', '2023-07-25 02:44:11']","[467.75, 930.15]"
"('SunPoint', 'Waterfalls', 'Apgar')","[""'09111""]",1,[14620.0],['2023-07-16 08:17:50'],['2023-07-16 17:37:45'],[559.9166666666666]
