id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23
'05131,Apgar_VC_parking,2023-07-10 16:41:20,2023-07-10 17:05:50,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05141,Apgar_village,2023-07-10 16:11:26,2023-07-10 17:06:28,3152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05171,Apgar_VC_parking,2023-07-10 09:12:38,2023-07-10 09:23:23,645.0,Apgar_village,2023-07-10 09:37:23,2023-07-10 09:40:53,210.0,Apgar_VC_parking,2023-07-10 13:43:53,2023-07-10 13:46:08,135.0,Apgar_campground,2023-07-10 13:50:23,2023-07-10 16:03:23,7980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05211,Apgar_village,2023-07-05 13:17:00,2023-07-05 14:04:30,2850.0,Apgar_campground,2023-07-05 14:05:45,2023-07-05 14:09:45,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05221,Apgar_village,2023-07-11 14:38:43,2023-07-11 15:12:46,1848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05231,Apgar_VC_parking,2023-07-10 08:22:37,2023-07-10 08:45:22,1365.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05311,Apgar_VC_parking,2023-07-10 12:40:16,2023-07-10 12:43:16,180.0,Apgar_VC,2023-07-10 12:43:31,2023-07-11 01:25:11,44035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05401,Apgar_village,2023-07-10 21:02:36,2023-07-10 21:04:38,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05441,Apgar_village,2023-07-10 09:34:19,2023-07-10 09:39:49,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05541,Apgar_VC_parking,2023-07-10 08:19:54,2023-07-10 08:21:54,120.0,Apgar_VC,2023-07-10 08:23:39,2023-07-10 08:30:24,405.0,Apgar_VC_parking,2023-07-10 08:30:54,2023-07-10 16:09:51,285.0,Apgar_VC,2023-07-10 16:10:06,2023-07-10 16:23:51,825.0,Apgar_village,2023-07-10 16:32:51,2023-07-10 17:01:06,1635.0,Apgar_VC_parking,2023-07-10 17:09:36,2023-07-10 17:11:36,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06021,Apgar_VC_parking,2023-07-11 11:13:46,2023-07-11 11:41:46,1680.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06131,Apgar_campground,2023-07-11 11:32:45,2023-07-11 11:38:30,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06171,Apgar_VC_parking,2023-07-11 10:13:10,2023-07-11 10:37:40,1470.0,Apgar_VC,2023-07-11 10:39:25,2023-07-11 10:54:55,915.0,Apgar_village,2023-07-11 11:07:40,2023-07-11 13:42:08,6943.0,Apgar_VC_parking,2023-07-11 13:50:38,2023-07-11 14:03:38,780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06181,Apgar_VC_parking,2023-07-11 11:11:22,2023-07-11 11:16:07,285.0,Apgar_VC,2023-07-11 11:16:22,2023-07-11 11:32:43,981.0,Apgar_VC_parking,2023-07-11 11:32:58,2023-07-11 11:45:43,765.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
