id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13
'05461,Logan_pass_parking,2023-07-10 09:22:51,2023-07-10 09:26:21,210.0,Logan_pass_VC,2023-07-10 09:27:21,2023-07-10 09:29:21,120.0,Logan_pass_VC,2023-07-10 09:29:36,2023-07-10 09:34:17,281.0,Hidden_lake_overlook,2023-07-10 09:53:32,2023-07-10 11:25:47,5535.0,Shuttle_Logan_pass,2023-07-10 11:34:47,2023-07-10 11:39:32,285.0,Logan_pass_parking,2023-07-10 11:39:32,2023-07-10 11:43:17,225.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05511,Logan_pass_parking,2023-07-10 14:35:08,2023-07-10 14:48:38,810.0,Logan_pass_VC,2023-07-10 14:49:08,2023-07-10 14:52:53,225.0,Hidden_lake_overlook,2023-07-10 14:54:53,2023-07-10 16:38:53,6240.0,Logan_pass_parking,2023-07-10 16:40:38,2023-07-10 17:00:08,1170.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'05541,Logan_pass_parking,2023-07-10 10:07:51,2023-07-10 10:22:36,885.0,Logan_pass_VC,2023-07-10 12:22:24,2023-07-10 12:28:39,375.0,Hidden_lake_overlook,2023-07-10 12:29:54,2023-07-10 13:55:39,5145.0,Logan_pass_VC,2023-07-10 13:56:39,2023-07-10 14:07:24,645.0,Shuttle_Logan_pass,2023-07-10 14:07:39,2023-07-10 14:14:09,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06041,Logan_pass_parking,2023-07-11 12:56:49,2023-07-11 14:50:19,6810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06061,Logan_pass_parking,2023-07-11 11:40:28,2023-07-11 11:49:49,561.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06111,Logan_pass_parking,2023-07-11 13:49:47,2023-07-11 13:56:32,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06131,Logan_pass_parking,2023-07-11 13:02:45,2023-07-11 13:18:15,930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06261,Logan_pass_parking,2023-07-11 14:39:48,2023-07-11 15:31:18,3090.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06301,Logan_pass_parking,2023-07-10 15:09:55,2023-07-10 15:25:55,960.0,Logan_pass_VC,2023-07-10 15:26:10,2023-07-10 15:41:55,945.0,Hidden_lake_overlook,2023-07-10 15:44:25,2023-07-10 17:42:10,7065.0,Logan_pass_VC,2023-07-10 17:47:24,2023-07-10 17:58:10,646.0,Logan_pass_parking,2023-07-10 17:58:40,2023-07-10 18:08:10,570.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06421,Loop_highline_grinnell_glac,2023-07-11 13:23:17,2023-07-11 19:35:00,22303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06441,Logan_pass_parking,2023-07-11 17:54:29,2023-07-11 18:35:29,2460.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06451,Logan_pass_parking,2023-07-11 13:47:57,2023-07-11 13:59:57,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06511,Logan_pass_parking,2023-07-12 17:48:29,2023-07-12 18:03:44,915.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'06521,Logan_pass_parking,2023-07-11 15:03:47,2023-07-11 15:29:17,1530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07041,Logan_pass_parking,2023-07-12 18:13:22,2023-07-12 18:34:07,1245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07101,Logan_pass_parking,2023-07-12 16:08:25,2023-07-12 16:21:25,780.0,Oberlin_climbing,2023-07-12 16:24:25,2023-07-12 18:08:10,6225.0,Logan_pass_parking,2023-07-12 18:11:25,2023-07-12 18:14:25,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07161,Logan_pass_parking,2023-07-12 16:44:37,2023-07-12 17:10:07,1530.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07171,Logan_pass_parking,2023-07-12 16:39:13,2023-07-12 17:15:13,2160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07181,Logan_pass_parking,2023-07-12 16:51:36,2023-07-12 16:55:06,210.0,Hidden_lake_overlook,2023-07-12 16:56:51,2023-07-12 17:59:51,3780.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07211,Logan_pass_parking,2023-07-12 17:41:02,2023-07-12 17:48:17,435.0,Loop_highline_grinnell_glac,2023-07-12 17:50:02,2023-07-12 18:23:47,2025.0,Loop_highline_grinnell_glac,2023-07-12 18:34:17,2023-07-12 18:36:32,135.0,Logan_pass_parking,2023-07-12 18:38:47,2023-07-12 18:44:32,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07231,Logan_pass_parking,2023-07-12 19:43:19,2023-07-12 19:50:19,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'07351,Logan_pass_parking,2023-07-12 17:11:38,2023-07-12 17:36:08,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'08231,Shuttle_Logan_pass,2023-07-14 17:13:38,2023-07-14 17:17:53,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09041,Logan_pass_parking,2023-07-16 13:08:32,2023-07-16 15:31:17,8565.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'09081,Logan_pass_parking,2023-07-16 08:46:44,2023-07-16 08:49:44,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
