ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'05081,"('Apgar_VC', 'Logan_pass_parking', 'Many_glacier_trail', 'Red_rock')",12255.0,2023-07-10 10:24:08,2023-07-10 18:54:19,510.18333333333334
'05091,"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Trail_of_Cedars')",2864.0,2023-07-10 09:05:40,2023-07-10 12:45:40,220.0
'05121,"('Apgar_VC_parking', 'Big_bend', 'Hidden_lake_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Moose_country', 'Red_rock')",14483.0,2023-07-10 08:38:05,2023-07-10 16:44:58,486.8833333333333
'05131,"('Apgar_VC_parking', 'Avalanche_parking', 'Baring_falls_parking', 'Baring_falls_trail', 'Loop_parking', 'StMary_falls_trail', 'St_mary_VC_parking', 'St_mary_falls_parking', 'Sun_point_parking', 'Viriginia_falls_trail')",9975.0,2023-07-10 07:58:20,2023-07-10 17:05:50,547.5
'05141,"('Apgar_village', 'Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Loop_parking', 'Moose_country', 'Shuttle_Avalanche', 'Trail_of_Cedars')",10881.0,2023-07-10 09:48:07,2023-07-10 17:06:28,438.35
'05171,"('Apgar_VC_parking', 'Apgar_campground', 'Apgar_village', 'Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country')",12570.0,2023-07-10 09:12:38,2023-07-10 16:03:23,410.75
'05211,"('Apgar_campground', 'Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Shuttle_Avalanche', 'Trail_of_Cedars')",20580.0,2023-07-05 07:56:45,2023-07-05 14:09:45,373.0
'05221,"('Apgar_village', 'Big_bend', 'Logan_pass_VC', 'Logan_pass_parking')",5178.0,2023-07-11 11:49:01,2023-07-11 15:12:46,203.75
'05231,"('Apgar_VC_parking', 'Logan_pass_parking', 'Loop_parking', 'Many_glacier_trail', 'Moose_country', 'Oberlin_bend')",16500.0,2023-07-10 08:22:37,2023-07-10 15:50:07,447.5
'05251,"('Gunsight_pass_trailhead', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Oberlin_bend', 'St_mary_falls_parking', 'Viriginia_falls_trail')",12930.0,2023-07-10 09:31:32,2023-07-10 14:31:17,299.75
'05261,"('Logan_pass_parking', 'Lunch_creek', 'Rising_sun_boat_dock', 'Siyeh_bend_parking', 'Siyeh_bend_trail')",13261.0,2023-07-10 09:36:29,2023-07-10 15:23:59,347.5
'05291,"('Avalanche_parking', 'Lake_macdonald_lodge', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Shuttle_Lake_macdonald')",30690.0,2023-07-10 08:18:48,2023-07-10 17:03:48,525.0
'05311,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Trail_of_Cedars')",46690.0,2023-07-10 07:53:46,2023-07-11 01:25:11,1051.4166666666667
'05331,"('St_mary_VC_parking',)",600.0,2023-07-06 09:38:30,2023-07-06 09:48:30,10.0
'05341,"('Avalanche_parking', 'Baring_falls_to_sun_point', 'Baring_falls_trail', 'Logan_pass_parking', 'Shuttle_Sun_point', 'St_mary_VC', 'St_mary_VC_parking', 'Sun_point_parking', 'Trail_of_Cedars')",6389.0,2023-07-10 11:35:03,2023-07-10 15:48:47,253.73333333333332
'05351,"('St_mary_VC_parking',)",420.0,2023-07-06 09:35:43,2023-07-06 09:42:43,7.0
'05361,"('Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Loop_parking', 'Many_glacier_trail')",10335.0,2023-07-10 07:53:31,2023-07-10 12:56:16,302.75
'05401,"('Apgar_village', 'Avalanche_parking', 'Big_bend', 'Many_glacier_trail', 'Moose_country', 'Shuttle_Avalanche', 'Trail_of_Cedars')",16288.0,2023-07-10 08:38:10,2023-07-10 21:04:38,746.4666666666667
'05441,"('Apgar_village', 'Gunsight_pass_trailhead', 'Many_glacier_trail')",6960.0,2023-07-10 09:34:19,2023-07-10 14:06:35,272.26666666666665
'05451,"('Logan_pass_parking', 'Lunch_creek_parking', 'Rising_sun_picnic_area', 'St_mary_VC_parking', 'Sun_point_parking')",7126.0,2023-07-05 09:05:23,2023-07-05 12:04:53,179.5
'05461,"('Hidden_lake_overlook', 'Jackson_glac_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Red_rock', 'Shuttle_Logan_pass')",8156.0,2023-07-10 09:22:51,2023-07-10 13:40:02,257.18333333333334
'05511,"('Hidden_lake_overlook', 'Jackson_glac_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'StMary_falls_trail', 'St_mary_falls_parking', 'Viriginia_falls_trail')",18809.0,2023-07-10 10:47:08,2023-07-10 17:00:08,373.0
'05541,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village', 'Hidden_lake_overlook', 'Jackson_glac_overlook', 'Lake_macdonald_lodge', 'Logan_pass_VC', 'Logan_pass_parking', 'Lunch_creek', 'Lunch_creek_parking', 'Shuttle_Jackson_glac_overlook', 'Shuttle_Logan_pass', 'St_mary_VC_parking', 'Wild_goose_island')",14497.0,2023-07-10 08:19:54,2023-07-10 17:11:36,531.7
'06021,"('Apgar_VC_parking', 'Lake_macdonald_lodge', 'St_mary_VC_parking')",2685.0,2023-07-11 11:13:46,2023-07-11 13:58:16,164.5
'06041,"('Logan_pass_parking', 'Loop_parking', 'Trail_of_Cedars')",10740.0,2023-07-11 11:39:04,2023-07-11 16:29:04,290.0
'06061,"('Logan_pass_parking', 'St_mary_VC_parking', 'Sun_point_parking', 'Trail_of_Cedars', 'Wild_goose_island')",1416.0,2023-07-11 10:48:26,2023-07-11 12:43:29,115.05
'06111,"('Avalanche_parking', 'Big_bend', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country', 'Red_rock')",1905.0,2023-07-11 11:56:32,2023-07-11 13:56:32,120.0
'06131,"('Apgar_campground', 'Logan_pass_parking', 'Loop_parking', 'Wild_goose_island')",1980.0,2023-07-11 11:32:45,2023-07-11 13:46:45,134.0
'06151,"('Lake_macdonald_lodge',)",345.0,2023-07-11 11:48:49,2023-07-11 11:54:34,5.75
'06171,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village', 'Lake_macdonald_lodge', 'Shuttle_Lake_macdonald')",14365.0,2023-07-11 10:13:10,2023-07-11 16:40:49,387.65
'06181,"('Apgar_VC', 'Apgar_VC_parking', 'Avalanche_parking', 'Baring_falls_trail', 'Loop_parking', 'Red_rock')",4926.0,2023-07-11 11:11:22,2023-07-11 15:46:33,275.18333333333334
'06261,"('Gunsight_pass_trailhead', 'Jackson_glac_overlook', 'Logan_pass_parking')",8416.0,2023-07-11 14:39:48,2023-07-11 17:10:03,150.25
'06271,"('Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars')",10574.0,2023-07-11 10:56:41,2023-07-11 14:22:40,205.98333333333332
'06291,"('Avalanche_parking', 'Avalanche_trail', 'Shuttle_Avalanche', 'Trail_of_Cedars')",12121.0,2023-07-11 11:48:51,2023-07-11 15:15:21,206.5
'06301,"('Avalanche_parking', 'Avalanche_trail', 'Big_bend', 'Hidden_lake_overlook', 'Logan_pass_VC', 'Logan_pass_parking', 'Oberlin_bend', 'Sun_point_parking', 'Trail_of_Cedars')",30924.0,2023-07-10 07:44:32,2023-07-10 18:56:10,671.6333333333333
'06351,"('St_mary_VC_parking', 'Wild_goose_island')",2625.0,2023-07-11 12:47:29,2023-07-11 13:42:59,55.5
'06381,"('Big_bend', 'Lake_macdonald_lodge', 'Moose_country', 'Rising_sun')",5805.0,2023-07-11 11:38:51,2023-07-11 15:01:59,203.13333333333333
'06421,"('Avalanche_parking', 'Loop_highline_grinnell_glac', 'Loop_parking', 'Moose_country')",25349.0,2023-07-11 11:54:02,2023-07-11 19:35:00,460.96666666666664
'06441,"('Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Loop_parking', 'Rising_sun')",20250.0,2023-07-11 11:42:59,2023-07-11 20:27:29,524.5
'06451,"('Avalanche_parking', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Moose_country', 'Red_rock')",6525.0,2023-07-11 10:49:27,2023-07-11 13:59:57,190.5
'06461,"('Apgar_VC_parking', 'Apgar_village')",2175.0,2023-07-11 10:18:18,2023-07-11 10:56:48,38.5
'06481,"('Avalanche_parking',)",15601.0,2023-07-11 11:57:19,2023-07-11 16:38:34,281.25
'06511,"('Apgar_VC_parking', 'Avalanche_parking', 'Logan_pass_parking')",2760.0,2023-07-12 17:48:29,2023-07-12 21:08:14,199.75
'06521,"('Apgar_VC', 'Apgar_VC_parking', 'Lake_macdonald_lodge', 'Logan_pass_parking', 'Red_rock', 'Shuttle_Lake_macdonald')",15976.0,2023-07-11 10:27:22,2023-07-11 18:00:32,453.1666666666667
'06531,"('Apgar_VC_parking', 'Lake_macdonald_lodge')",19485.0,2023-07-11 11:32:32,2023-07-11 17:24:32,352.0
'06541,"('Apgar_VC', 'Apgar_VC_parking', 'Lake_macdonald_lodge', 'Snyder_ridge_trail')",18095.0,2023-07-11 10:36:27,2023-07-11 18:25:02,468.5833333333333
'07041,"('Logan_pass_parking',)",1245.0,2023-07-12 18:13:22,2023-07-12 18:34:07,20.75
'07091,"('St_mary_falls_parking',)",390.0,2023-07-12 16:10:37,2023-07-12 16:17:07,6.5
'07101,"('Logan_pass_parking', 'Oberlin_climbing')",7185.0,2023-07-12 16:08:25,2023-07-12 18:14:25,126.0
'07121,"('Apgar_VC',)",18939.0,2023-07-12 20:54:56,2023-07-13 04:31:03,456.1166666666667
'07131,"('Apgar_VC', 'Rising_sun')",3151.0,2023-07-12 15:17:29,2023-07-12 18:54:30,217.01666666666668
'07161,"('Apgar_VC_parking', 'Logan_pass_parking')",1860.0,2023-07-12 16:44:37,2023-07-12 18:38:37,114.0
'07171,"('Logan_pass_parking',)",2160.0,2023-07-12 16:39:13,2023-07-12 17:15:13,36.0
'07181,"('Hidden_lake_overlook', 'Logan_pass_parking')",3990.0,2023-07-12 16:51:36,2023-07-12 17:59:51,68.25
'07211,"('Logan_pass_parking', 'Loop_highline_grinnell_glac')",2940.0,2023-07-12 17:41:02,2023-07-12 18:44:32,63.5
