id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12,location_13,enter_time_13,exit_time_13,duration_13,location_14,enter_time_14,exit_time_14,duration_14,location_15,enter_time_15,exit_time_15,duration_15,location_16,enter_time_16,exit_time_16,duration_16,location_17,enter_time_17,exit_time_17,duration_17,location_18,enter_time_18,exit_time_18,duration_18,location_19,enter_time_19,exit_time_19,duration_19,location_20,enter_time_20,exit_time_20,duration_20,location_21,enter_time_21,exit_time_21,duration_21,location_22,enter_time_22,exit_time_22,duration_22,location_23,enter_time_23,exit_time_23,duration_23,location_24,enter_time_24,exit_time_24,duration_24,location_25,enter_time_25,exit_time_25,duration_25,location_26,enter_time_26,exit_time_26,duration_26,location_27,enter_time_27,exit_time_27,duration_27,location_28,enter_time_28,exit_time_28,duration_28
'02301,Loop,2023-07-05 09:08:10,2023-07-05 09:14:40,390.0,Logan,2023-07-05 09:41:25,2023-07-05 10:31:10,2985.0,SunPoint,2023-07-05 11:01:10,2023-07-05 14:04:10,16155.0,Logan,2023-07-05 14:22:10,2023-07-05 14:28:55,405.0,Apgar,2023-07-05 15:37:25,2023-07-05 15:42:10,285.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02321,Waterfalls,2023-07-05 09:45:33,2023-07-05 13:10:33,3944.0,SunPoint,2023-07-05 13:13:48,2023-07-05 13:18:03,255.0,RisingSun,2023-07-05 13:24:48,2023-07-05 14:13:18,495.0,StMary,2023-07-05 14:26:48,2023-07-05 14:54:27,1629.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02331,Apgar,2023-07-05 08:03:37,2023-07-05 08:07:07,210.0,Loop,2023-07-05 09:28:44,2023-07-05 09:46:14,1050.0,Logan,2023-07-05 10:43:59,2023-07-05 11:37:44,3225.0,Waterfalls,2023-07-05 12:45:59,2023-07-05 13:44:59,3330.0,SunPoint,2023-07-05 13:47:44,2023-07-05 13:50:29,165.0,RisingSun,2023-07-05 14:10:14,2023-07-05 14:21:59,705.0,StMary,2023-07-05 19:50:29,2023-07-05 22:32:29,9720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02341,Loop,2023-07-05 09:04:46,2023-07-05 10:12:46,3945.0,Logan,2023-07-05 10:38:46,2023-07-05 18:31:46,28110.0,Loop,2023-07-05 18:32:46,2023-07-05 18:50:16,1050.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02351,LakeMcDonald,2023-07-05 08:42:14,2023-07-05 10:00:47,4413.0,Logan,2023-07-05 11:10:47,2023-07-05 11:15:47,300.0,Waterfalls,2023-07-05 11:40:02,2023-07-05 12:41:47,2101.0,StMary,2023-07-05 13:14:15,2023-07-05 13:26:16,376.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02361,Apgar,2023-07-05 08:25:45,2023-07-05 14:10:30,18930.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02411,Apgar,2023-07-05 07:33:07,2023-07-05 17:59:05,26664.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02421,Apgar,2023-07-05 08:52:49,2023-07-05 09:34:04,2445.0,LakeMcDonald,2023-07-05 09:54:04,2023-07-05 09:57:49,360.0,Avalanche,2023-07-05 10:08:19,2023-07-05 14:46:04,16485.0,LakeMcDonald,2023-07-05 14:55:49,2023-07-05 14:59:34,225.0,Apgar,2023-07-05 15:26:19,2023-07-05 15:30:34,255.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02431,Apgar,2023-07-05 08:54:44,2023-07-05 13:08:57,8848.0,Logan,2023-07-05 15:13:49,2023-07-05 15:18:04,255.0,LakeMcDonald,2023-07-05 16:56:04,2023-07-05 16:59:34,210.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'02441,Avalanche,2023-07-05 09:17:09,2023-07-05 13:01:24,13455.0,LakeMcDonald,2023-07-05 13:16:09,2023-07-05 14:22:09,3960.0,Logan,2023-07-05 15:37:09,2023-07-05 16:39:39,3750.0,Waterfalls,2023-07-05 16:53:09,2023-07-05 17:05:24,735.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
