Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Apgar_village', 'Avalanche_parking', 'Avalanche_trail', 'Trail_of_Cedars')","[""'02541""]",1,[19922.0],['2023-07-05 08:11:34'],['2023-07-05 16:17:36'],[486.03333333333336]
"('Avalanche_parking', 'Baring_falls_trail', 'Logan_pass_parking', 'Rising_sun', 'Rising_sun_boat_dock', 'Shuttle_Avalanche', 'St_mary_VC_parking', 'Sun_point_parking', 'Trail_of_Cedars')","[""'02551""]",1,[48269.0],['2023-07-05 09:27:54'],['2023-07-06 02:10:09'],[1002.25]
"('Jackson_glac_overlook', 'Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Rising_sun_boat_dock', 'Shuttle_Logan_pass', 'Shuttle_Rising_Sun', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'St_mary_VC_parking', 'Viriginia_falls_trail')","[""'03031""]",1,[16755.0],['2023-07-06 11:43:11'],['2023-07-06 19:01:56'],[438.75]
"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')","[""'03041""]",1,[11475.0],['2023-07-05 07:56:04'],['2023-07-05 14:06:34'],[370.5]
"('Hidden_lake_overlook', 'Logan_pass_VC')","[""'03101""]",1,[4665.0],['2023-07-06 12:42:17'],['2023-07-06 14:03:02'],[80.75]
"('Siyeh_bend_trail',)","[""'03131""]",1,[4305.0],['2023-07-05 10:43:34'],['2023-07-05 11:55:19'],[71.75]
"('Rising_sun_boat_dock', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'St_mary_VC_parking', 'Sun_point_parking', 'Viriginia_falls_trail')","[""'03161""]",1,[12276.0],['2023-07-06 10:38:00'],['2023-07-06 15:05:36'],[267.6]
"('Many_glacier_trail', 'St_mary_VC', 'St_mary_VC_parking')","[""'03191""]",1,[23170.0],['2023-07-06 12:07:51'],['2023-07-06 19:21:16'],[433.4166666666667]
"('Logan_pass_VC', 'Logan_pass_parking', 'Shuttle_Logan_pass', 'Shuttle_St_mary_falls', 'StMary_falls_trail', 'Sun_point_parking', 'Viriginia_falls_trail')","[""'03201""]",1,[13210.0],['2023-07-06 12:49:39'],['2023-07-06 17:54:19'],[304.6666666666667]
"('Logan_pass_parking', 'Loop_highline_grinnell_glac', 'Lunch_creek_parking', 'Many_glacier_trail')","[""'03311""]",1,[48973.0],['2023-07-05 08:08:36'],['2023-07-06 01:08:34'],[1019.9666666666667]
