ID,Unique_Locations,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
'19461,"('Apgar_VC',)",5915.0,2023-08-01 08:12:57,2023-08-01 09:51:32,98.58333333333333
'19521,"('Apgar_VC', 'Apgar_VC_parking')",1010.0,2023-08-01 15:03:50,2023-08-01 15:20:55,17.083333333333332
'20041,"('Apgar_VC', 'Apgar_VC_parking', 'Apgar_village')",23997.0,2023-08-02 16:19:21,2023-08-02 23:58:17,458.93333333333334
'20081,"('Apgar_VC', 'Apgar_village')",13934.0,2023-08-02 15:22:37,2023-08-03 05:19:22,836.75
'20291,"('Apgar_VC',)",8741.0,2023-08-02 20:30:55,2023-08-03 01:54:20,323.4166666666667
'20381,"('Apgar_VC_parking', 'Apgar_village')",285.0,2023-08-02 13:50:28,2023-08-02 13:57:58,7.5
'21141,"('Apgar_VC',)",24373.0,2023-08-03 16:10:27,2023-08-03 23:42:21,451.9
'21231,"('Apgar_VC',)",2033.0,2023-08-03 18:22:40,2023-08-03 23:54:42,332.03333333333336
'21351,"('Apgar_VC',)",31770.0,2023-08-03 17:39:23,2023-08-04 02:28:53,529.5
'21381,"('Apgar_VC', 'Apgar_VC_parking')",1590.0,2023-08-03 15:42:11,2023-08-03 23:53:55,491.73333333333335
'21501,"('Apgar_VC',)",225.0,2023-08-03 16:09:30,2023-08-03 16:13:15,3.75
'23011,"('Apgar_campground',)",13425.0,2023-08-06 15:42:33,2023-08-06 19:26:18,223.75
'23041,"('Apgar_VC',)",390.0,2023-08-06 20:41:14,2023-08-06 23:47:50,186.6
'23071,"('Apgar_VC',)",165.0,2023-08-06 16:52:51,2023-08-06 16:55:36,2.75
'23201,"('Apgar_VC',)",19508.0,2023-08-06 16:46:01,2023-08-07 00:36:10,470.15
'23291,"('Apgar_VC',)",5998.0,2023-08-06 16:18:03,2023-08-06 17:58:01,99.96666666666667
