Unique_Locations,IDs,Count,Total_Duration_POI,Trip_Start_Time,Trip_End_Time,Total_Trip_Duration
"('Apgar', 'LakeMcDonald', 'Logan', 'RisingSun', 'SunPoint', 'Waterfalls')","[""'02091"", ""'02111""]",2,"[11715.0, 13200.0]","['2023-07-05 07:44:47', '2023-07-05 07:21:58']","['2023-07-05 15:38:02', '2023-07-05 15:32:43']","[473.25, 490.75]"
"('Apgar', 'Logan', 'StMary')","[""'02101""]",1,[5940.0],['2023-07-05 08:07:35'],['2023-07-05 23:22:02'],[914.45]
"('Logan',)","[""'02141"", ""'03101"", ""'03311"", ""'07041"", ""'07101"", ""'07171"", ""'07181"", ""'07211"", ""'09081"", ""'10391"", ""'10471"", ""'12021"", ""'12031"", ""'12251"", ""'14521"", ""'17221"", ""'17341"", ""'17511"", ""'20331"", ""'22151"", ""'23281"", ""'23511"", ""'25041"", ""'25331""]",24,"[9855.0, 4665.0, 3825.0, 1245.0, 7185.0, 2160.0, 3990.0, 2940.0, 180.0, 6300.0, 10110.0, 62445.0, 31425.0, 21692.0, 2340.0, 660.0, 8130.0, 465.0, 825.0, 42150.0, 7050.0, 60615.0, 16943.0, 7890.0]","['2023-07-05 09:51:50', '2023-07-06 12:42:17', '2023-07-05 08:08:36', '2023-07-12 18:13:22', '2023-07-12 16:08:25', '2023-07-12 16:39:13', '2023-07-12 16:51:36', '2023-07-12 17:41:02', '2023-07-16 08:46:44', '2023-07-18 18:38:05', '2023-07-18 18:42:24', '2023-07-21 09:11:19', '2023-07-21 09:29:32', '2023-07-21 08:59:59', '2023-07-26 18:38:44', '2023-07-31 17:39:16', '2023-07-31 15:58:29', '2023-07-31 16:41:36', '2023-08-02 12:21:08', '2023-08-01 12:12:15', '2023-08-06 09:46:36', '2023-08-06 07:58:02', '2023-08-08 12:14:38', '2023-08-08 13:00:05']","['2023-07-05 12:55:35', '2023-07-06 14:03:02', '2023-07-05 09:26:06', '2023-07-12 18:34:07', '2023-07-12 18:14:25', '2023-07-12 17:15:13', '2023-07-12 17:59:51', '2023-07-12 18:44:32', '2023-07-16 08:49:44', '2023-07-18 20:26:35', '2023-07-18 21:41:09', '2023-07-22 02:32:49', '2023-07-21 19:11:35', '2023-07-21 15:10:32', '2023-07-26 19:22:44', '2023-07-31 17:59:31', '2023-07-31 18:27:59', '2023-07-31 17:07:51', '2023-08-02 12:38:08', '2023-08-01 23:54:45', '2023-08-06 11:44:06', '2023-08-07 00:56:47', '2023-08-08 17:16:01', '2023-08-08 16:21:35']","[183.75, 80.75, 77.5, 20.75, 126.0, 36.0, 68.25, 63.5, 3.0, 108.5, 178.75, 1041.5, 582.05, 370.55, 44.0, 20.25, 149.5, 26.25, 17.0, 702.5, 117.5, 1018.75, 301.3833333333333, 201.5]"
"('Logan', 'SunPoint', 'Waterfalls')","[""'02161"", ""'03201""]",2,"[2885.0, 13210.0]","['2023-07-05 10:44:08', '2023-07-06 12:49:39']","['2023-07-05 12:16:17', '2023-07-06 17:54:19']","[92.15, 304.6666666666667]"
"('Avalanche',)","[""'02171"", ""'05041"", ""'06271"", ""'06291"", ""'06481"", ""'16091"", ""'16161"", ""'17141"", ""'17161""]",9,"[22439.0, 9150.0, 10574.0, 12121.0, 15601.0, 360.0, 10560.0, 9810.0, 10560.0]","['2023-07-05 08:22:44', '2023-07-10 07:57:06', '2023-07-11 10:56:41', '2023-07-11 11:48:51', '2023-07-11 11:57:19', '2023-07-30 16:46:35', '2023-07-30 18:10:10', '2023-07-31 18:04:47', '2023-07-30 18:10:10']","['2023-07-05 15:19:14', '2023-07-10 10:49:21', '2023-07-11 14:22:40', '2023-07-11 15:15:21', '2023-07-11 16:38:34', '2023-07-30 16:52:35', '2023-07-30 21:11:10', '2023-07-31 20:52:17', '2023-07-30 21:11:10']","[416.5, 172.25, 205.98333333333332, 206.5, 281.25, 6.0, 181.0, 167.5, 181.0]"
"('Apgar', 'LakeMcDonald', 'Logan', 'SunPoint', 'Waterfalls')","[""'02181"", ""'09381""]",2,"[24582.0, 18676.0]","['2023-07-05 07:32:05', '2023-07-16 07:56:59']","['2023-07-06 00:32:08', '2023-07-16 16:25:44']","[1020.05, 508.75]"
"('Logan', 'Waterfalls')","[""'02191"", ""'05251"", ""'05461"", ""'05511"", ""'06261"", ""'14161"", ""'14541""]",7,"[18660.0, 11369.0, 7076.0, 18809.0, 8191.0, 2160.0, 4440.0]","['2023-07-05 09:10:58', '2023-07-10 09:31:32', '2023-07-10 09:22:51', '2023-07-10 10:47:08', '2023-07-11 14:39:48', '2023-07-26 16:20:57', '2023-07-26 16:47:17']","['2023-07-05 16:21:43', '2023-07-10 14:31:17', '2023-07-10 12:19:47', '2023-07-10 17:00:08', '2023-07-11 17:06:03', '2023-07-26 17:17:42', '2023-07-26 18:46:06']","[430.75, 299.75, 176.93333333333334, 373.0, 146.25, 56.75, 118.81666666666666]"
"('Avalanche', 'Logan', 'SunPoint', 'Waterfalls')","[""'02201""]",1,[18930.0],['2023-07-05 08:13:14'],['2023-07-05 16:31:29'],[498.25]
"('Apgar', 'Avalanche', 'Logan')","[""'02221"", ""'06511"", ""'24541""]",3,"[33097.0, 2760.0, 22648.0]","['2023-07-05 07:58:54', '2023-07-12 17:48:29', '2023-08-07 09:19:40']","['2023-07-05 23:56:20', '2023-07-12 21:08:14', '2023-08-07 20:44:48']","[957.4333333333333, 199.75, 685.1333333333333]"
"('Logan', 'RisingSun', 'Waterfalls')","[""'02241""]",1,[12795.0],['2023-07-05 09:55:39'],['2023-07-05 16:23:09'],[387.5]
