id,location_1,enter_time_1,exit_time_1,duration_1,location_2,enter_time_2,exit_time_2,duration_2,location_3,enter_time_3,exit_time_3,duration_3,location_4,enter_time_4,exit_time_4,duration_4,location_5,enter_time_5,exit_time_5,duration_5,location_6,enter_time_6,exit_time_6,duration_6,location_7,enter_time_7,exit_time_7,duration_7,location_8,enter_time_8,exit_time_8,duration_8,location_9,enter_time_9,exit_time_9,duration_9,location_10,enter_time_10,exit_time_10,duration_10,location_11,enter_time_11,exit_time_11,duration_11,location_12,enter_time_12,exit_time_12,duration_12
'11421,Avalanche_parking,2023-07-20 10:34:17,2023-07-20 10:41:32,435.0,Shuttle_Avalanche,2023-07-20 10:34:17,2023-07-20 10:40:47,390.0,Trail_of_Cedars,2023-07-20 10:45:02,2023-07-20 10:56:47,705.0,Avalanche_trail,2023-07-20 10:57:17,2023-07-20 13:54:17,10620.0,Trail_of_Cedars,2023-07-20 13:54:32,2023-07-20 14:02:02,450.0,Avalanche_parking,2023-07-20 14:03:02,2023-07-20 14:27:17,1455.0,Shuttle_Avalanche,2023-07-20 14:03:47,2023-07-20 14:25:32,1305.0,,,,,,,,,,,,,,,,,,,,
'11531,Avalanche_parking,2023-07-20 10:34:11,2023-07-20 10:39:26,315.0,Shuttle_Avalanche,2023-07-20 10:34:11,2023-07-20 10:38:41,270.0,Trail_of_Cedars,2023-07-20 10:43:11,2023-07-20 10:53:41,630.0,Avalanche_trail,2023-07-20 10:54:41,2023-07-20 13:15:11,8430.0,Trail_of_Cedars,2023-07-20 13:15:41,2023-07-20 13:25:41,600.0,Avalanche_parking,2023-07-20 13:26:56,2023-07-20 13:30:56,240.0,,,,,,,,,,,,,,,,,,,,,,,,
'12151,Avalanche_parking,2023-07-21 11:19:51,2023-07-21 11:36:06,975.0,Shuttle_Avalanche,2023-07-21 11:19:51,2023-07-21 11:35:21,930.0,Trail_of_Cedars,2023-07-21 11:37:51,2023-07-21 16:00:21,975.0,Avalanche_parking,2023-07-21 16:02:06,2023-07-21 16:34:36,1950.0,Shuttle_Avalanche,2023-07-21 16:02:06,2023-07-21 16:32:21,1800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12161,Avalanche_parking,2023-07-21 12:55:50,2023-07-21 13:00:04,254.0,Shuttle_Avalanche,2023-07-21 12:56:05,2023-07-21 12:58:20,135.0,Trail_of_Cedars,2023-07-21 13:03:50,2023-07-21 13:53:05,2955.0,Avalanche_parking,2023-07-21 13:55:35,2023-07-21 14:03:05,450.0,Shuttle_Avalanche,2023-07-21 13:56:20,2023-07-21 14:01:50,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'12521,Avalanche_parking,2023-07-21 09:43:34,2023-07-21 09:52:19,525.0,Shuttle_Avalanche,2023-07-21 09:43:49,2023-07-21 09:51:19,450.0,Trail_of_Cedars,2023-07-21 09:53:34,2023-07-21 10:04:19,645.0,Avalanche_trail,2023-07-21 10:04:49,2023-07-21 12:57:19,10350.0,Trail_of_Cedars,2023-07-21 12:57:48,2023-07-21 13:05:04,436.0,Avalanche_parking,2023-07-21 13:07:04,2023-07-21 13:25:04,1080.0,Shuttle_Avalanche,2023-07-21 13:15:03,2023-07-21 13:23:34,511.0,Avalanche_parking,2023-07-21 15:08:04,2023-07-21 15:23:49,945.0,Shuttle_Avalanche,2023-07-21 15:08:04,2023-07-21 15:22:49,885.0,,,,,,,,,,,,
'1321,Avalanche_parking,2023-07-02 12:03:12,2023-07-02 12:09:12,360.0,Shuttle_Avalanche,2023-07-02 12:03:12,2023-07-02 12:08:57,345.0,Trail_of_Cedars,2023-07-02 12:12:27,2023-07-02 12:21:12,525.0,Avalanche_trail,2023-07-02 12:21:42,2023-07-02 12:29:57,495.0,Trail_of_Cedars,2023-07-02 12:30:12,2023-07-02 12:34:27,255.0,Avalanche_parking,2023-07-02 12:35:27,2023-07-02 12:45:57,630.0,Shuttle_Avalanche,2023-07-02 12:36:27,2023-07-02 12:38:57,150.0,,,,,,,,,,,,,,,,,,,,
'13381,Avalanche_parking,2023-07-24 15:09:23,2023-07-24 15:14:23,300.0,Shuttle_Avalanche,2023-07-24 15:09:38,2023-07-24 15:13:23,225.0,Avalanche_parking,2023-07-24 16:27:28,2023-07-24 16:40:14,766.0,Shuttle_Avalanche,2023-07-24 16:27:28,2023-07-24 16:38:59,691.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'14411,Avalanche_parking,2023-07-26 19:23:31,2023-07-26 20:19:01,795.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'15091,Avalanche_parking,2023-07-27 10:50:15,2023-07-27 11:26:00,2145.0,Shuttle_Avalanche,2023-07-27 10:50:15,2023-07-27 11:24:15,2040.0,Avalanche_parking,2023-07-27 15:57:00,2023-07-27 16:22:15,1515.0,Shuttle_Avalanche,2023-07-27 15:57:15,2023-07-27 16:21:45,1470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
'15101,Avalanche_parking,2023-07-27 10:50:09,2023-07-27 11:26:24,2175.0,Shuttle_Avalanche,2023-07-27 10:50:09,2023-07-27 11:24:24,2055.0,Avalanche_parking,2023-07-27 15:34:24,2023-07-27 15:41:39,435.0,Shuttle_Avalanche,2023-07-27 15:34:39,2023-07-27 15:40:24,345.0,Trail_of_Cedars,2023-07-27 15:45:39,2023-07-27 16:27:24,2505.0,Avalanche_parking,2023-07-27 16:28:39,2023-07-27 16:48:54,1215.0,Shuttle_Avalanche,2023-07-27 16:29:24,2023-07-27 16:47:09,1065.0,,,,,,,,,,,,,,,,,,,,
